#묶음	번호	식별자	EN	JP	KO
0	83	T_FLYER	PLANE FLYER 	ジョイプレーン 	
0	84	T_MAZE	MAZE   	迷路 	
0	85	T_GHOST_HOUSE	GHOST HOUSE	ゴーストハウス 	
0	86	T_FOUNTAIN	CENTER FOUNTAIN	噴水 	
0	87	T_PARK_CLOSED	PARK CLOSED    	PARK CLOSED 	
0	88	T_STAFF_COST			
0	89	T_INTREST			
0	90	T_DOUBLE_INTREST			
0	91	T_PROFIT			
0	92	T_LOSS			
0	93	T_BANK_WAGES	STAFF WAGES	人件費総額	
0	94	T_BANK_TICKET_SALES	TICKET SALES	入場料収益	
0	95	T_BANK_BALANCE	Available Cash	総資金	
0	96	T_BANK_LAST_PROFIT	LAST MONTH'S BALANCE	先月の損益	
0	97	T_BANK_TICKET_COST	Ticket\nPrice	入場料	
0	98	T_BANK_SHOP	SHOP REVENUE	ショップの収益	
0	99	T_BANK_PARK_RND	BUILDING COSTS	設置費用	
0	100	T_SHOP_COST	SHOP BUILDING COST	開店費用	
0	101	T_SHOP_CUSTOMERS	CUSTOMERS SO FAR	利用客	
0	102	T_SHOP_STOCK	STOCK PRICE	仕入価格	
0	103	T_SHOP_SALE	SALE PRICE	販売価格	
0	104	T_SHOP_SELLS	TYPE OF GOODS	販売品目	
0	105	T_SHOP_DAYS	DAYS OPEN	営業日数	
0	106	T_PERSON_HOURS	TIME SPENT IN PARK	滞在時間	
0	107	T_PERSON_MONEY	MONEY REMAINING	持ってるお金	
0	108	T_PERSON_BEEN_ON	NUMBER OF RIDES BEEN ON	乗ったアトラクションの数	
0	109	T_PERSON_RIDE_TYPES	TYPE OF RIDES BEEN ON	乗ったアトラクションの種類	
0	110	T_PERSON_GO_HOME	GO HOME	家に帰る	
0	111	T_STAFF_EMPLOYED	MONTHS EMPLOYED	勤続月数	
0	112	T_STAFF_WASTED			
0	113	T_STAFF_NOTHING	DOING NOTHING	何もしていない	
0	114	T_STAFF_ENTERTAINED	PEOPLE ENTERTAINED	お客さんとの出会い	
0	115	T_STAFF_PLEASED_1			
0	116	T_STAFF_PLEASED	PEOPLE MADE HAPPY	しあわせ度	
0	117	T_STAFF_WAGE	MONTHLY WAGE	月給	
0	118	T_STAFF_LITTER	PICKING UP LITTER	ゴミを拾っている	
0	119	T_STAFF_TREES	WATERING TREES	植木に水をやっている	
0	120	T_STAFF_GRASS	CUTTING GRASS	草を刈っている	
0	121	T_STAFF_RIDETIME	FIXING RIDES	アトラクションを直している	
0	122	T_STAFF_RIDES	NUMBER OF RIDES FIXED	アトラクション修理数	
0	123	T_STAFF_ENTERTAININ	ENTERTAINING	たのしんでいる	
0	124	T_STAFF_ICON_1	EXCELLENT	優秀	
0	125	T_STAFF_ICON_2	OKAY	まあまあ	
0	126	T_STAFF_ICON_3	TRY HARDER	いまいち	
0	127	T_STAFF_TERMINATED	SACK 'IM	クビ	
0	128	CELL1291	OKAY	まあまあ	
0	129	CELL1301	NEED FOOD QUICKLY	すぐに食べなきゃ死んじゃうよお	
0	130	CELL1311	QUITE HUNGRY NOW	とてもお腹がすいた	
0	131	CELL1321	GETTING A BIT HUNGRY ACTUALLY	ちょっとお腹がすいた	
0	132	CELL1331	OKAY ON THE FOOD FRONT	食べ物はオーケイ	
0	133	CELL1341	NOT HUNGRY	お腹はすいてない	
0	134	CELL1351	DEFINITELY NOT HUNGRY	ぜんぜんお腹はすいてない	
0	135	T_PERSON_HUNGRY_STA	DON'T WANT TO EAT RIGHT NOW	今は食べたくない	
0	136	CELL1371	I'LL SCREAM IF I SEE ANOTHER BURGER	ほかのハンバーガーがあったら泣きわめくよ。	
0	137	CELL1381	SO THIS IS WHAT DYING OF THIRST IS	喉が乾いて死にそうだ	
0	138	CELL1391	GIVE ME A DRINK OR I'M LEAVING	飲み物をくれなきゃ帰る	
0	139	CELL1401	COULD DO WITH A DRINK	飲み物があればなあ	
0	140	CELL1411	A BIT THIRSTY ACTUALLY	ちょっと喉がかわいた	
0	141	CELL1421	OKAY ON THE DRINK SIDE OF THINGS	飲みながらならいいよ	
0	142	CELL1431	NOT THIRSTY	喉はかわいてない	
0	143	CELL1441	DON'T WANT A DRINK	飲み物はほしくない	
0	144	CELL1451	PROBABLY COULDN'T DRINK ANY MORE	もうこれ以上飲めない	
0	145	T_PERSON_THIRST_STA	DRUNK TOO MUCH	飲み過ぎた	
0	146	T_BID	BID	BID	
0	147	T_SALOON_SHOP	SALOON	ビアハウス 	
0	148	CELL1491	 		
0	149	T_SHOP_AMOUNT	AMOUNT OF	商品の量	
0	150	T_RIDE_RACE	RACE CAR RIDE	ゴーカート 	
0	151	T_HAUNTED_HOUSE	HAUNTED HOUSE	ホーンテッドハウス 	
0	152	T_OKAY	OKAY	OK	
0	153	T_RIDE_RENAME	RENAME RIDE	アトラクションの名前をかえる	
0	154	T_START	START	スタート	
0	155	T_MAKEUP_OAK	OAK TREE	カシの木 	
0	156	T_MAKEUP_WEEPING	WEEPING TREE	ヤナギの木 	
0	157	T_MAKEUP_BERCH	BIRCH TREE	カバの木 	
0	158	T_SHUTTLE	SPACE SHUTTLE	スペースシャトル 	
0	159	T_RIDE_LOOP	LOOP THE LOOP	ループ 	
0	160	T_RIDE_SCREW	CORK SCREW	コークスクリュー 	
0	161	T_REQ_RIDE_COST	RIDE COST	アトラクション設置費用	
0	162	T_REQ_RIDE_CAPACITY	RIDE CAPACITY (MAX)	定員数（最大）	
0	163	T_REQ_RIDE_EXCITEMENT	EXCITEMENT	興奮度	
0	164	T_REQ_RIDE_STRENGTH	RELIABILITY	耐久性	
0	165	T_REQ_RIDE_PEOPLE	PEOPLE BEEN ON RIDE	利用者総数	
0	166	T_LIST_STAFF_TITLE	STAFF LIST	スタッフ一覧	
0	167	T_FIND	FIND	見つける	
0	168	T_INFO	INFO	情報	
0	169	T_LIST_DOWN	DOWN	下	
0	170	T_LIST_RIDE_TITLE	RIDE LIST	アトラクション一覧	
0	171	T_LIST_SHOP_TITLE	SHOP LIST	ショップ一覧	
0	172	T_LIST_EMPLOYEE	EMPLOYEE	スタッフ	
0	173	T_LIST_IDLE	IDLE	怠けている	
0	174	T_LIST_WORKING	WORKING	能率	
0	175	T_LIST_WAGE	WAGE	人件費	
0	176	T_STAFF_ERROR	YOU'RE NOT EMPLOYING ANY STAFF RIGHT NOW	スタッフを一人も雇っていません	
0	177	T_RIDE_ERROR	YOU HAVEN'T BOUGHT ANY RIDES	アトラクションが何もありません	
0	178	T_SHOP_ERROR	YOU HAVEN'T OPENED ANY SHOPS	ショップを何も開店していません	
0	179	T_LIST_RIDE_NAME	RIDE NAME	アトラクション名	
0	180	T_LIST_USERS	USERS	客数	
0	181	T_LIST_RANKING	RANK	人気	
0	182	T_LIST_REPAIR	REPAIR	修理	
0	183	T_LIST_SHOP_NAME	SHOP NAME	ショップ名	
0	184	T_LIST_FOOD	FOOD	フード	
0	185	T_LIST_TYPE	TYPE	タイプ	
0	186	T_LIST_TAKINGS	TAKINGS	粗利	
0	187	T_LIST_PROFIT	PROFIT	利益	
0	188	T_LIST_PRICES	STOCK	在庫数量	
0	189	T_LIST_CUSTOMERS	SALES	売上数	
0	190	T_QUICK_RIDES	RIDES	アトラクション	
0	191	T_QUICK_SHOPS	SHOPS	ショップ	
0	192	T_QUICK_MAKEUP	SCENERY	施設	
0	193	T_QUICK_STAFF	STAFF	スタッフ	
0	194	T_QUICK_PATHS	PATHS	歩道	
0	195	T_CANCEL	CANCEL	キャンセル	
0	196	T_RIDE_PARASOL	PARASOL CHAIRS	パラソルチェアー 	
0	197	T_TUBING_HELP	You can only place a Tubing House next to a complete track.	入り口は完成したコースに沿って\n設置してください。	
0	198	T_ROLER_HELP	You can only place a Roller Coaster House next to a complete roller track.	ローラーハウスはコースが完成後、\nそれに沿って設置してください。	
0	199	T_RIDE_CLOWNS	CLOWN ACTS	ピエロショー 	
0	200	T_RIDE_COWBOYS	COWBOY ACTS	ウエスタンショー 	
0	201	T_RIDE_DOLFINS	DOLPHIN ACTS	イルカショー 	
0	202	T_RIDE_KNIGHTS	MEDIEVAL ACTS	コロシアム 	
0	203	T_RIDE_MONO	MONORAIL	モノレール 	
0	204	T_CHANGE_SALT	AMOUNT OF SALT	塩の量	
0	205	T_CHANGE_ICE	AMOUNT OF ICE	氷の量	
0	206	T_CHANGE_FAT	AMOUNT OF FAT	肉の量	
0	207	T_CHANGE_WATER	AMOUNT OF WATER	水増し量	
0	208	T_CHANGE_SUGAR	AMOUNT OF SUGAR	砂糖の量	
0	209	T_CHANGE_CAFFEINE	AMOUNT OF CAFFEINE	カフェインの量	
0	210	CELL2111	 	 	
0	211	T_SHOP_TEDDY 	TOY LAND	トイザマス 	
0	212	T_SHOP_BALLOON	BALLOON WORLD	バルーンストア 	
0	213	T_TUBING_NOT_ENOUGH_MONEY	This costs %s, which is more than you can afford right now.	これには %s かかります。\n資金が足りないので設置できませんね。	
0	214	T_LIST_NUMBER_OF_HANDYMEN	HANDYMEN	スイーパー 	
0	215	T_LIST_NUMBER_OF_MECHANICS	MECHANICS	メカニック 	
0	216	T_LIST_NUMBER_OF_ENTERTAINER	ENTERTAINERS	エンターテナー 	
0	217	T_LIST_SORT	SORT BY	区別する	
0	218	T_LIST_WORK_TIME	TIME	時間	
0	219	T_LIST_NUMBER_OF_SHOPS	SHOPS	ショップ 	
0	220	T_LIST_NUMBER_OF_RIDES	RIDES	アトラクション 	
0	221	T_LIST	LIST	リスト 	
0	222	T_BUY_CAPACITY	MAXIMUM CAPACITY	最大定員数	
0	223	T_BUY_EXCITEMENT	RIDE EXCITEMENT	興奮度	
0	224	T_BUY_RELIABILITY	RELIABILITY	耐久性	
0	225	T_BUY_COST	COST	設置費用	
0	226	T_BUY_BUY	BUY	買う	
0	227	T_BUY_SOME_TRACK	TRACK	コース	
0	228	T_BUY_SPECIAL	SPECIAL	スペシャル	
0	229	T_WINDOW_EMPTY			
0	230	T_STAFF_CHICKEN	CHICKEN MAN	コッケーくん 	
0	231	T_STAFF_STRONG_MAN	STRONG MAN	マッチョマン 	
0	232	T_STAFF_GUARD	GUARD	ガードマン 	
0	233	CELL2341	 	 	
0	234	CELL2351	 	 	
0	235	CELL2361	 	 	
0	236	T_YEAR_1	RICHEST	資金	
0	237	T_YEAR_2	SATISFACTION	満足度	
0	238	T_YEAR_3	EXCITING	興奮度	
0	239	T_YEAR_4	BIGGEST	規模	
0	240	T_YEAR_5	AMENITIES	快適度	
0	241	T_YEAR_6	PLEASANT	娯楽度	
0	242	T_RES_NEXT	NEXT	つぎ	
0	243	T_RES_PREV	PREV	まえ	
0	244	T_CONTINUE	GAME	ゲーム	
0	245	T_BANK_IN	MONEY IN	収入	
0	246	T_BANK_BAL	BALANCE	収支	
0	247	T_BANK_OUT	MONEY OUT	支出	
0	248	T_WOODEN_SPLASH	WATER SPLASH	ウォータースプラッシュ 	
0	249	T_REQ_HIRE	COST TO HIRE	雇用費	
0	250	T_ENTHUSIASM	ENTHUSIASM	熱心度	
0	251	T_STMT_DAY	DAY	日	
0	252	T_STMT_DETAIL	DETAILS	詳細	
0	253	T_STMT_OUT	OUT	OUT	
0	254	T_STMT_IN	IN	IN	
0	255	T_RIDE_SPINNEY	SUPER SPINNER	スーパースピナー 	
0	256	T_MAKEUP_SPOOK	SPOOKY TREE	怪しい木 	
0	257	T_SHOP_GIFT	GIFT SHOP	キャッスルギフト 	
0	258	T_SHOP_ARCADE 	ARCADE	ゲームセンター 	
0	259	T_SHOP_COFFEE 	COFFEE SHOP	コーヒーショップ 	
0	260	T_SHOP_NOVELTY 	NOVELTY SHOP	バラエティーショップ 	
0	261	T_SHOP_BULL1234	BULL1234	ブル１２３４ 	
0	262	T_SIDE_ADDICTIVENESS	ADDICTIVENESS	ハマリ度	
0	263	T_SIDE_CUSTOMERS	WINS/PUNTERS	勝者/利用者数	
0	264	T_SIDE_PROBABILITY	PROBABILITY OF WINNING	勝率	
0	265	T_SIDE_PRIZE	COST OF PRIZE	景品価格（賞金）	
0	266	T_SIDE_PRICE	PRICE PER GAME	ゲーム料金	
0	267	T_DELETE_PAID_RIDE			
0	268	T_DELETE_UNPAID_RIDE			
0	269	CELL2701			
0	270	CELL2711			
0	271	CELL2721			
0	272	CELL2731			
0	273	CELL2741			
0	274	T_SHOP_COCONUT	COCONUT SHY	ココナッツショット 	
0	275	T_ICE_CREAM	ICE CREAM	アイスクリーム 	
0	276	T_FRIES	FRIES	フライドポテト 	
0	277	T_BURGERS	BURGERS	ハンバーガー 	
0	278	T_COLA	COLA	コーラ 	
0	279	T_BEER	BEER	ビール 	
0	280	T_COFFEE	COFFEE	コーヒー 	
0	281	T_TIME_WORKING	TIME WORKING	労働時間	
0	282	T_STEAK	STEAK	ステーキ 	
0	283	T_SHOP_CAFE	STEAK RESTAURANT	ステーキハウス 	
0	284	T_MAKEUP_TOILET	BOGGY CRAPPER	ありがちなトイレ 	
0	285	T_CONFIRM_NEW_BUS			
0	286	T_PLAYERS_NAME	IT'S YOU BUDDY	ﾒｻﾞｾ ﾕｳｴﾝﾁｵｳ 	
0	287	T_PLAYER_CHEATS	%s HAS JUST CHEATED !!!	ずるをしたな %s ！！	
0	288	T_OVER_DRAWN			
0	289	T_PERCENT_HAPPY			
0	290	T_PERCENT_UNDECIDED			
0	291	T_PERCENT_UNHAPPY			
0	292	T_GOOD			
0	293	T_BAD			
0	294	T_THOUGHTS	THOUGHTS	考え	
0	295	T_MEANING_OF_DREAMS	THE MEANING OF THOUGHTS	フキダシの意味	
0	296	T_OBSERVATORY	OBSERVATORY	プラネタリウム 	
0	297	T_PLANET_ROCKET	PLANET ROCKET	ロケットプラネット 	
0	298	T_SHOP_DUCK_SHOOT 	DUCK SHOOT	ガーガーショット 	
0	299	T_SHOP_RACE_TRACK	RACE TRACK	ダービーメダリオン 	
0	300	T_SHOP_GUN_SHOOT	GUN SHOOT	ラッキーショット 	
0	301	T_OPENS			
0	302	T_PERSON_BOREDOM	MOOD	気分	
0	303	T_TOILET_USERS	TOILET USERS	トイレ利用者	
0	304	T_MAKEUP_BAD_TOILET	OUTHOUSE	掘っ立てトイレ 	
0	305	T_NICKNAME	VERN	バーン 	
0	306	T_MAKEUP_SUPER_TOILET	SUPER TOILET	至上のトイレ 	
0	307	T_SHOP_SHARP_SHOOT	TIN CAN ALLEY	ティンカンアレイ 	
0	308	T_SAVE	Save	セーブ	
0	309	T_LOAD	Load	ロード	
0	310	T_SPEED_SETTING	Speed	スピード設定	
0	311	T_BGM_SETTING	BGM	BGM設定	
0	312	T_MAP_VIEW	Map	全体地図	
0	313	T_BACK_TO_TITLE	Back\nTo Title	ﾀｲﾄﾙへ戻る	
0	314	T_LOADING	Loading from the DS Card...\nDo not remove the DS Card.\nDo not touch the Power Button.	ロード中です…\n電源を切ったり、DSカードを\n抜いたりしないでください。	
0	315	T_SAVING	Saving to the DS Card...\nDo not remove the DS Card.\nDo not touch the Power Button.	セーブ中です…\n電源を切ったり、DSカードを\n抜いたりしないでください。	
0	316	T_CONFIRM_FIRE	Are you sure you want to fire this employee?	本当にこのスタッフを解雇しますか？	
0	317	T_ACCOUNTING_SCREEN	Chart	経済グラフ	
0	318	T_BANK_SCREEN	Bank	銀行	
0	319	T_VISITORS_SCREEN	Visitors	入場客	
0	320	T_STRAGE_SCREEN	Warehouse	在庫管理	
0	321	T_RESEARCH_SCREEN	Research	研究	
0	322	T_STOCK_SCREEN	Stocks	株	
0	323	T_LISTS_SCREEN	Lists	各種一覧	
0	324	T_CUR_TICKET_PRICE	Current Ticket Price	現在のチケット価格	
0	325	T_NEW_TICKET_PRICE	New Ticket Price	新しいチケット価格	
0	326	T_CONFIRM_RETURN_TITLE	Are you sure you want to return to the Main Menu? All unsaved data will be lost.	タイトル画面に戻ります。\n未セーブの場合、現在のプレイデータは\n破棄されます。よろしいですか？	
0	327	T_REPAIRING_RIDE_NAME	Attraction Being Worked On	修理中の乗り物	
0	328	T_MONTHLY_PROFIT	Monthly Profit	毎月の利益	
0	329	T_FRENCH_BAKERY	FRENCH BAKERY	フランスベーカリー	
0	330	T_MAHARAJA_CURRY	MAHARAJA CURRY	マハラジャカレー	
0	331	T_LONDON_TAXI	LONDON TAXI TEA	ロンドンタクシーティー	
0	332	T_STAFF_ROBOT	ROBOT	ブリキロボ	
0	333	T_STAFF_GODZILLA	DINOSAUR	大怪獣	
0	334	T_STAFF_GHOST	GHOST	ゆうれいくん	
0	335	T_STAFF_GIANT	GIANT	ジャンボさん	
0	336	T_PERSON_CHR_A	PIRATE	海賊	
0	337	T_PERSON_CHR_B	SPACEMAN	宇宙飛行士	
0	338	T_PERSON_CHR_C	NINJA	忍者	
0	339	T_PERSON_CHR_D	BUNNY GIRL	バニーガール	
0	340	T_PERSON_CHR_E	WAITRESS	ウェイトレス	
0	341	T_PERSON_CHR_F	COWGIRL	カウガール	
0	342	T_PERSON_CHR_G	PUNK	パンクス	
0	343	T_PERSON_CHR_H	ZOMBIE	ゾンビ	
0	344	T_SIGN_RIGHT	Right Direction	右方向の標識	
0	345	T_SIGN_LEFT	Left  Direction	左方向の標識	
0	346	T_CURRENT_POS	Current Position	現在位置	
0	347	T_SIGN_UP	Up Direction	上方向の標識	
0	348	T_SIGN_DOWN	Down Direction	下方向の標識	
0	349	T_PARK_GATE	Park Gate	入場ゲート	
0	350	T_LOAD_FAILED_CORRUPT	The Theme Park save file is corrupted and will be deleted. 	テーマパークのセーブファイルが破損しているため削除されます。	
0	351	T_DATA_WRITE_FAILED	The data could not be written.\nTurn the power OFF.\nRemove and reinsert the DS Card.	データを上書きすることができませんでした。\nDS本体の電源を切り、\nDSカードを一度抜いて\n再び差し込んでください。	
0	352	T_READ_FAILED	Could not read the data.\nTurn the power OFF.\nReinsert the DS Card.	データを読み込むことができませんでした。\nDS本体の電源を切り、\nDSカードを一度抜いて\n再び差し込んでください。	
0	353	T_LOAD_SUCCESS	Game Data loaded successfully.	ゲームデータのロードに成功しました。	
0	354	T_SAVE_SUCCESS	Game Data saved sucessfully.	ゲームデータのセーブに成功しました。	
0	355	T_CANADA_SHOP	CANADIAN SALMON	カナディアンサーモン	
0	356	T_ITALY_SHOP	PIZZA COLISEUM	ピッツァコロシアム	
0	357	T_USA_RIDE	EMPIRE STATE FLYER	エンパイアステイトフライ	
0	358	T_EGYPT_RIDE	FLYING CARPET	マジックカーペット	
0	359	T_JAPAN_RIDE	BOUNCY CASTLE-J	バウンシーキャッスル -J	
0	360	T_CHINA_SHOP	DRAGON NOODLE	ドラゴンヌードル	
0	361	T_GERMAN_SHOP	DANKE FRANKFURT	ダンケフランクフルト	
0	362	T_ANTARTICA_SHOP	PENGUIN CAFÉ	ペンギンカフェ	
0	363	T_SPANISH_SHOP	SPANISH PAELLA	スパニッシュパエリア	
0	364	T_RUSSIA_SHOP	RUSSIAN PIROSHKI	キャッスルピロシキ	
0	365	T_AFRICA_RIDE	AFRICAN TREE-HOUSE	サバンナツリー	
0	366	T_AUSTRALIA_RIDE	AUSTRALIAN SAFARI	クロコダイルショック	
0	367	T_BRAZIL_RIDE	RIO CARNAVALE	パレードカップ	
0	368	T_STMT_BALANCE	Statement Balance	エンパイアステイトフライ	
0	369	T_BREAD	BREADS	パン	
0	370	T_SPICES	SPICES	スパイス	
0	371	T_FISHES	FISHES	魚	
0	372	T_SAUSAGES	SAUSAGES	ソーセージ	
0	373	T_PIZZA	PIZZAS	ピザ	
0	374	T_PAERIA	PAELLAS	パエリア	
0	375	T_PIROSHKI	PIROSHKI	ピロシキ	
0	376	T_TEA	TEA	お茶	
0	377	T_NEXT_COUNTRY	Next Country	次の国へ	
0	378	T_GIVEUP	Give Up!	ギブアップ	
0	379	T_NOODLE	NOODLE	中華麺	
0	380	T_CONFIRM_SAVE	Do you want to overwrite the current saved game?	現在のセーブデータに上書きしますか？	
0	381	T_CONFIRM_LOAD	Do you want to load your saved data?	セーブデータをロードしますか？	
0	382	T_COPYRIGHT	©2007 Electronic Arts Inc.\nAll rights reserved.	©2007 Electronic Arts Inc.\nAll rights reserved.	
1	0	CELL3851	HUMAN	ﾋｭｰﾏﾝ	
1	1	CELL3861	BINGO HIGHWAY	ﾋﾞﾝｺﾞﾊｲｳｪｲ	
1	2	CELL3871	PROF. MONEYBAGS	ﾌﾟﾛﾌｪｯｻｰﾏﾈｰﾊﾞｯｸﾞ	
1	3	CELL3881	S JOHNSTON	Sｼﾞｮﾝｽﾄﾝ	
1	4	CELL3891	M THATCHER	Mｻｯﾁｬｰ	
1	5	CELL3901	V GLADSTONE	Vｸﾞﾗｯﾄﾞｽﾄﾝ	
1	6	CELL3911	NICK HALL	ﾆｯｸﾎｰﾙ	
1	7	CELL3921	J KENNEDY	Jｹﾈﾃﾞｨ	
1	8	CELL3931	SIMON HILL	ｻｲﾓﾝﾎｰﾙ	
1	9	CELL3941	R NIXON	Rﾆｸｿﾝ	
1	10	CELL3951	J BARNES	Jﾊﾞｰﾝｽﾞ	
1	11	CELL3961	DHARSHAN KUMURAN	ﾀﾞﾙｼｬﾝｸﾑﾗﾝ	
1	12	CELL3971	B FISCHER	Bﾌｨｯｼｬｰ	
1	13	CELL3981	SAM BULLEN	ｻﾑﾊﾞﾚﾝ	
1	14	CELL3991	C STONE	Cｽﾄｰﾝ	
1	15	CELL4001	R REAGAN	Rﾚｰｶﾞﾝ	
1	16	CELL4011	ALAN INGHAM	ｱﾗﾝｲﾝｶﾞﾑ	
1	17	CELL4021	R ATTLEE	Rｱﾄﾘｰ	
1	18	CELL4031	H KOHL	Hｺｰﾙ	
1	19	CELL4041	MALT WISNEY	ﾓﾙﾄｳｨｽﾞﾆｰ	
1	20	CELL4051	JANE	ｼﾞｪｰﾝ	
1	21	CELL4061	D ZARNER	Dｻﾞﾙﾅｰ	
1	22	CELL4071	A EINSTEIN	Aｱｲﾝｽﾀｲﾝ	
1	23	CELL4081	B CLINTON	Bｸﾘﾝﾄﾝ	
1	24	CELL4091	L OLIVIER	Lｵﾘﾋﾞｴ	
1	25	CELL4101	C CRAWFORD	Cｸﾛﾌｫｰﾄﾞ	
1	26	CELL4111	JES WORLD	ｼﾞｪｽﾜｰﾙﾄﾞ	
1	27	CELL4121	PEZ WORLD	ﾍﾟｽﾞﾜｰﾙﾄﾞ	
