#묶음	번호	식별자	EN	JP	KO
0	0	MA_LEGAL_PATH	<1>As you can see, the Path Placement icon is ON. That means you can use the stylus to place paths!	<1>歩道設置アイコンがＯＮの状態です。\nタッチペンで歩道が書けますね。	
0	14	MA_PLACE_RIDE	<1>Please place this attraction. Would you select a location, then tap the OK icon to finish?	<1>アトラクションを設置しますね。\n場所を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	15	MA_PLACE_RIDE_ENTRANCE	<1>Now please place the attraction's entrance. Would you select a location, then tap the OK icon to finish?	<1>次にアトラクションの入口を設置です。\n場所を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	16	MA_PLACE_RIDE_EXIT	<1>To finish, please select an exit. Would you select a location, then tap the OK icon to finish?	<1>最後に出口の設置です。\n場所を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	17	MA_PLACE_SHOP	<1>Please place this shop. Would you select a location, then tap the OK icon to finish?	<1>ショップを設置しますね。\n場所を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	18	MA_PLACE_SCENERY	<1>Please place this piece of scenery. Would you select a location by tapping it with the stylus?	<1>設備を設置しますね。\n設置したい場所を\nタッチペンでタッチして頂けますか？	
0	19	MA_PLACE_STAFF	<1>Please place this employee. Would you select a location by tapping it with the stylus?	<1>スタッフを配置しますね。\n配置したい場所を\nタッチペンでタッチして頂けますか？	
0	20	MA_DELETE_PAID_RIDE	This attraction cost %s.\nDo you really want to demolish it?	このアトラクションには\n%sの費用がかかっていますね。\n本当に撤去するのですか？	
0	21	MA_DELETE_UNPAID_RIDE	Are you sure you want to delete this?\nSince it has not been in your park for at least a month, it won't cost you anything.	設置して１ヶ月以内なので、\nこれを撤去しても\n今なら費用は必要ありませんわ。	
0	22	MA_DELETE_PAID_SHOP	This shop cost %s.\nDo you really want to demolish it?	このショップには\n%sの費用がかかっていますね。\n本当に撤去するのですか？	
0	23	MA_DELETE_UNPAID_SHOP	Are you sure you want to delete this?\nSince it has not been in your park for at least a month, it won't cost you anything.	設置して１ヶ月以内なので、\nこれを撤去しても\n今なら費用は必要ありませんわ。	
0	24	MA_CONFIRM_FIRE	Do you really want to fire this employee?	本当に、このスタッフを解雇しますか？	
0	25	MA_MANAGEMENT_DESCRIPTION	Adjust management settings on this screen.<P>To confirm selections, draw a check mark or circle the icons with the stylus.	この画面では、経営に関する設定を行います。<P>選択の決定は、\nタッチペンでアイコンをチェック\nあるいは○で囲んでください。	
0	26	MA_STOCK_SCREEN	Order raw materials necessary for shops and manage inventory.	ショップで必要な\n原材料の発注、在庫管理を行います。	
0	27	MA_GRAPH_DESCRIPTION	Use graphs to get an understanding of theme park finances.	テーマパークの経済推移状況を、\nグラフで把握できます。	
0	28	MA_VISITOR_DESCRIOTION	View the results of questionnaires given to park visitors.	来場したお客様の感想をアンケート集計した、\n統計結果を参照できます。	
0	29	MA_LITS_DESCRIPTION	Use this database to view charts on park attractions, facilities and staff.	テーマパーク内の施設、設置物、スタッフを、\n表形式で一覧できるデータベースです。	
0	30	MA_BANK_DETAILS	Access the bank. Apply for loans and make loan payments.	銀行を利用します。\n借入れ金の申し出と、返済を行います。	
0	31	MA_RESEARCH_DESCRIPTION	Develop new facilities, remodel existing facilities and train staff members.	新しい設備の開発、\n既存の設備の改良、\nスタッフの研修を行います。	
0	32	MA_STORAGE_SCREEN	Buy and sell stocks.	株の売買を行います。	
0	33	MA_ADMISSION_PRICE	Raise or lower park admission prices.	入場料の値上げ、値下げを行います。	
0	34	MA_EXPAND_WAREHOUSE	Research and development results announced! You can now store %d of each type of merchandise!	研究開発の成果が報告されました！\n１商品あたり\n%dの在庫保管が可能となります！	
0	35	MA_STOCK_AVAIL_MSG	You can store %d of each type of merchandise.	現在１商品あたり、\n%dの在庫保管が可能です。	
0	36	MA_STOCK_COUNT_MSG	This is %s.	%sの在庫です。	
0	37	MA_STOCK_ORDER_MSG	Set the amount to be ordered, then tap the OK icon.	発注数が決まりましたら、\nＯＫアイコンをタッチしてください。	
0	38	MA_STOCK_ORDERED_MSG	<1>You've finished ordering %s. Delivery is %s. Please be patient.	<1>%s、発注完了です。\n納品予定は%s、心待ちにしましょうね。	
0	39	MA_BANK_HELP	After adjusting the amount, tap the LOAN TAKEN OUT button to borrow, and the LOAN REPAID button to pay back loans.	金額を入力後、借入れは”借入れ”アイコンを、\n返済は”借入れ返済”アイコンを\nタッチしてください。	
0	40	MA_BANK_PAY_MSG	Tap this button if you want to make a loan payment.	借入れ金の返済を行いたい場合、\nこちらのボタンをタッチしてください。	
0	41	MA_BANK_LOAN_MSG	Tap this button if you want to apply for a loan.	借入れを行いたい場合、\nこちらのボタンをタッチしてください。	
0	42	MA_BANK_LOANED_MSG	<1>You've borrowed %s from the bank. Be sure to put it to good use!	<1>銀行から%sを借入れてきました。\n有効に使いましょうね。	
0	43	MA_BANK_PAYED_MSG	<1>You've paid the bank back %s. Good work!	<1>銀行に%s、\n責任持って返済してきました。	
0	44	MA_RAD_HELP	Develop new facilities, remodel existing facilities and train staff members on this screen.<P>To confirm selections, check or circle the icon with the stylus.	この画面では新しい設備の開発、\n既存の設備の改良、\nスタッフの研修を行います。<P>選択の決定は、\nタッチペンでアイコンをチェック\nあるいは○で囲んでください。	
0	45	MA_RAD_NEW_RIDE_DES	Develop a new ride. Be sure to plan wisely to keep your guests entertained.	新しいアトラクションを開発します。\nお客さんを飽きさせない為にも、\n積極的に投資しましょう。	
0	46	MA_RAD_UP_RIDE_DES	Remodel a ride. This allows you to increase the number of visitors on the ride and the number of staff while keeping costs low.	アトラクションを改良します。\n最大定員数の増加と、\n設備費用を低く抑える効果が期待できます。	
0	47	MA_RAD_NEW_SHOP_DES	Develop a new shop. New merchandise adds to the park's revenues.	新しいショップを開発します。\n新しいショップの商品は、\nテーマパークの収益に貢献するでしょう。	
0	48	MA_RAD_TRAIN_STAFF_DES	Train staff members. A well-trained staff provides the best possible service.	スタッフの研修を行います。\n高度な教育を受けたスタッフは、\nよりよいサービスを提供するでしょう。	
0	49	MA_RAD_NEW_FAC_DES	Develop new facilities. Management of facilities has a strong impact on the apearance and hygiene of the park.	新しい施設を開発します。\n施設の充実は、テーマパークの景観と\n衛生面に強く影響を与えます。	
0	50	MA_RAD_UP_FAC_DES	Remodel facilities. This will expand storage capabilities and improve bus services.	施設の改修を行います。具体的には、\n倉庫の拡張と送迎バスの大型化を行います。	
0	51	MA_RAD_NEW_RIDE_MSG	Set the new Research budget. Tap the OK icon when the amount has been set.	新しい開発費用を入力します。\n金額を入力後、\nＯＫアイコンをタッチしてください。	
0	52	MA_RAD_CONFIRMED0_MSG	<1>The new budget is %s. Remember, this amount will be automatically subtracted from your account each month.	<1>新しい費用は%sです。\nこの設定金額で毎月引き落しされます。\n要注意ですよ。	
0	53	MA_SHARE_HELP	After entering in the price, tap the BUY button to buy stocks, and tap the SELL button if you would like to sell stocks.	金額を入力後、株の購入は”買う”アイコンを、\n売却は”売る”アイコンをタッチしてください。	
0	54	MA_SHARE_BUY	<1>You bought %d shares of %s.	<1>%s株を\n%d購入しました。	
0	55	MA_SHARE_SELL	<1>You sold %d shares of %s.	<1>%s株を\n%d売却しました。	
0	56	MA_ADMISSION_HELP	Set a new admission price. Tap the OK icon when the amount has been set.	新しい入場料を入力します。\n金額を入力後、\nＯＫアイコンをタッチしてください。	
0	57	MA_ADMISSION_CONFIRMED	<1>The new price has been set at %s.	<1>新しい入場料は%sで決定しました。	
0	58	MA_SETTINGS_DESCRIPTION	Adjust settings for individual systems on this screen.<P>To confirm selections, draw a check mark or circle icons with the stylus.	この画面では、各種システムの設定を行います。<P>選択の決定は\nタッチペンでアイコンをチェック、\nあるいは○で囲んでください。	
0	59	MA_GAME_SPEED	Adjust the overall game speed.	ゲーム全体の進行速度を切り替えます。	
0	60	MA_MAP_BOX	Display the entire park map. Use the stylus to travel directly to any location you like.	全体マップを表示します。\nタッチペンで目的の場所へ\nダイレクトに移動が可能です。	
0	61	MA_SOUND_DESCRIPTION	Change the game music.	ゲーム中に流れる音楽を変更します。	
0	62	MA_SAVE_DESCRIPTION	Save current game progress.	途中経過をセーブします。	
0	63	MA_LOAD_DESCRIPTION	Load a saved game.	セーブデータをロードします。	
0	64	MA_GIVEUP_DESCRIPTION	Give up building the current park and return to the Country selection screen.	この国のテーマパーク経営から手を引きます。	
0	65	MA_GAME_SPEED_HELP	Adjust the speed at which the park operates. Tap one of the four speed triangles in the center of the screen.	ゲームの進行速度を切り替える事ができます。\n画面中央のスピードゲージを\nタッチしてください。	
0	66	MA_SOUND_HELP	Change the game music. Tap the icon to take a listen. Check or circle the icon to confirm your selection.	ゲーム中の音楽を変更します。\nアイコンをタッチして試聴。\nチェック、あるいは○で決定となります。	
0	67	MA_SAVE_HELP	Save current game progress. Tap the OK icon to save your game.	途中経過をセーブします。\nよろしければＯＫアイコンを\nタッチしてください。	
0	68	MA_SAVE_PROGRESS	<1>Now saving... Please don't turn the power off.	<1>現在セーブ中。\nセーブが終了するまで\n電源をＯＦＦにしないでね…	
0	69	MA_SAVE_END	<2>OK! Save complete.	<2>ＯＫ、セーブ完了です！	
0	70	MA_LOAD_HELP	Load a saved game. Tap the OK icon to load a game.	セーブデータをロードします。\nよろしければＯＫアイコンを\nタッチしてください。	
0	71	MA_LOAD_PROGRESS	<1>Now loading... Please be patient.	<1>現在ロード中。\nちょっと待ってね…	
0	72	MA_LOAD_END	<2>OK! Load complete! Now you can continue playing your in-progress game.	<2>ＯＫ、ロード完了！\n中断データから再開です、よろしくね。	
0	73	MA_GIVEUP_CONFIRM	<1>Give up building the current park and return to the Country selection screen. All of your unsaved game data will be lost. Is that OK?	<1>ギブアップします。\nセーブしていない場合、このプレイデータは\n無くなっちゃうけど…それでもいい？	
0	74	MA_RIDE_INFO	Try tapping the various icons. It's possible to make all kinds of adjustments to individual rides.	色々なアイコンにタッチしてみてください。\nアトラクション毎に\n様々な調整を行うことが可能です。	
0	75	MA_MAX_PEEPS	Change the ride's single-ride capacity. Tap the cursor to adjust.	アトラクションの１回あたりの\n定員数を変更します。カーソルをタッチして\n数値を調整してください。	
0	76	MA_REPAIR	This shows the ride's durability. Tap the gauge to have Mechanics make repairs.	アトラクションの耐久度を表します。\nゲージをタッチすると、\nメカニックが修理を行います。	
0	77	MA_SPEED	Change the ride's operating speed. Tap the gauge to adjust. Faster rides need repairs more often.	アトラクションの運転速度を変更します。\nゲージをタッチすると、\n運転速度が変更されます。	
0	78	MA_TIME	Change the ride's single-ride duration. Tap the gauge to adjust.	アトラクションの１回あたりの\n運転時間を変更します。ゲージをタッチして\n時間を変更してください。	
0	79	MA_RIDE_INFO_SHOP	The shop's current status. You can adjust prices and the amount of seasoning used.	このショップの現在の状態です。\n販売価格、味付け量の変更が可能です。	
0	80	MA_INFO_SIDE_HELP	The sideshow's current status. You can adjust winning percentages, prize values and play costs.	このサイドゲームの現在の状態です。\n勝率、景品価格、ゲーム料金の変更が可能です。	
0	81	MA_INFO_GURD_HELP	The Guard's current status. You can adjust his salary and placement.	このガードマンの現在の状態です。\n給与の変更、配置位置の移動が可能です。	
0	82	MA_MOVE_STAFF	<1>To change the %s's position, please designate the %s's new spot and tap the OK icon.	<1>%sの配置位置を変更します。\n%sの位置を指定して、\nＯＫアイコンをタッチして頂けますか？	
0	83	MA_RIDE_INFO_STAFF	The Entertainer's current status. You can adjust his salary and placement.	このエンターテナーの現在の状態です。\n給与の変更、配置位置の移動が可能です。	
0	84	MA_MOVE_STAFF2	<1>To change the Entertainer's position please designate the Entertainer's new spot and tap the OK icon.	<1>エンターテナーの配置位置を変更します。\n位置を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	85	MA_INFO_HANDY_HELP	The Handyman's current status. You can adjust his salary, placement and cleaning area.	このスイーパーの現在の状態です。\n給与の変更、配置位置の移動、\n清掃範囲の指定が可能です。	
0	86	MA_MOVE_STAFF3	<1>To change the Handyman's position, please designate the Handyman's new spot and tap the OK icon?	<1>スイーパーの配置位置を変更します。\n位置を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	87	MA_PLACE_HANDYMAN_ROUTE	<1>To set the Handyman's cleaning route, tap the starting point of the area you want the Handyman to clean.<P>You can set more than one starting point. Select the areas you want cleaned and then touch the OK icon when you're done.	<1>スイーパーの清掃ルートを指定します。\nまず清掃範囲の基点を\nタッチペンで指定してくださいね。<P>基点の指定は複数できます。\n範囲を指定した後、\nＯＫアイコンをタッチして頂けますか？	
0	88	MA_INFO_MECA_HELP	The Mechanic's current status. You can adjust his salary, placement, and maintenance area.	このメカニックの現在の状態です。\n給与の変更、配置位置の移動、修理する\nアトラクションの指定が可能です。	
0	89	MA_MOVE_STAFF4	<1>To change the Mechanic's position, please designate the Mechanic's new spot and tap the OK icon.	<1>メカニックの配置位置を変更します。\n位置を指定後、\nＯＫアイコンをタッチして頂けますか？	
0	90	MA_MECANIC_REPAIR	<1>This Mechanic wants to go to work. Would you please tap the ride that requires repairs?	<1>メカニックを修理に向かわせますね。\n修理したいアトラクションを\nタッチして頂けますか？	
0	91	MA_ERASER	<1>The "Erase" icon is on. This will allow you to erase things in your park.	<1>消しゴムアイコンがＯＮの状態です。\nタッチペンで様々な施設が撤去できますね。	
0	92	MA_WAREHOUSE_FULLMODE	The warehouse and inventory controls can only be accessed in "Full" mode.	在庫管理は、｢なんでもできる｣モードで\n行ってください。	
0	93	MA_RESEARCH_SANDBOX	Unfortunately, research cannot be done in "Sandbox" mode	｢つくるのが楽しい｣モードでは、\n研究を行うことができません。	
0	94	MA_STOCK_DISABLE	You can only trade stocks in "Full" mode.	このゲームモードでは、\n株取引を行うことができません。	
0	95	MA_CONTINUE_NEXT_COUNTRY	<1>When you are ready to sell your park and go to another country, go to the "System" menu and choose "Next country".	<1>売却、キャンセルしました。\nでは引き続き、この国をプレーしましょう。<P>クリアした履歴が保存されていませんね。\n中断の際は、忘れずにセーブをお願いします。<P>次の国をプレーしたい場合、\nゲームアイコン”システム”から\n”次の国へ”を選択してくださいね。	
0	96	MA_SELL_CONFIRM	<1>To make another park, you need to sell this one, and won't be able to return to it. Do you want to sell this park?	<1>新しい国をプレーする為にはセーブの後、\n今の国を売却しなくてはならないの。<P>一度売却すると、この国は\nあなたの物ではなくなるんだけど…\nいいかしら？	
0	97	MA_UNLOCKED_ITEM	You now have access to:	新たな要素が追加されました！	
0	98	MA_LEVEL_CLEARED	<2>Congratulations!\nYou've cleared this country.\nLet's go to another country!	<2>おめでとう！クリアノルマ達成よ！\nでは、新しい国へ向かいましょう！	
0	99	MA_PARK_SOLD	<1>You've sold your park! 	<1>この国を売却します。売却手続きの為、\nセーブを行うわ。少々お待ちください。	
0	100	M_LOAD_PROFILE_END	<2>OK! Load complete! 	<2>ＯＫ、ロード完了！\n中断データから再開です、よろしくね。	
0	101	MA_PLACE_TUBE	<1>Place the Water Slide house alongside the water slide course. Remember, the course needs to form a complete loop.	<1>ウォータースライダーは、\n環状に繋がった専用コースに\n隣接させて設置して。	
0	102	MA_PLACE_GOKART	<1>Place the Go-Kart house alongside the go-kart course. Remember, the course needs to form a complete loop.	<1>ゴーカートは、\n環状に繋がった専用コースに\n隣接させて設置して。	
0	103	MA_GAME_OVER	<4>Oh, no. You have... gone bankrupt... this means we're gonna have to close the park.	<4>本日付けで破産宣告…\nこのパークは閉園となりました…\n私が至らなかったからかな…	
0	104	MA_OUT_OF_THING	<1>Oh, dear. There are simply too many things in your park.<P>To build more, you need to remove some existing things.	<1>これ以上配置できないようです。\n新たに配置したい場合、\n設置物を撤去してくださいね。	
0	105	MA_OUT_OF_STAFF	<1>It seems there are too many things in your park.<P>To place a new staff member, make some room by removing existing things.	<1>これ以上スタッフを雇用できない状態です。\n新たにスタッフを雇用したい場合、\n設置物を減らしてくださいね。	
0	106	MA_OUT_OF_CUSTOMER	<1>Oh, dear. There are too many items in your park. It seems as if even your customers won't be able to enter!<P>Make some room by removing some existing things.	<1>これ以上お客さんが入園できない状態です。\nさらにお客さんを招き入れたい場合、\n設置物を撤去してくださいね。	
0	107	MA_WOODEN_COST	<1>Big Dipper rails cost %s apiece.	<1>ウッドコースターのレールを敷設中です。\nレールの敷設には\n%sのコストが発生しますね。	
0	108	MA_TUBE_COST	<1>Roller Coaster rails cost %s apiece.	<1>ジェットコースターのレールを敷設中です。\nレールの敷設には\n%sのコストが発生しますね。	
0	109	MA_MONO_COST	<1>Monorail rails cost %s apiece.	<1>モノレールのレールを敷設中です。\nレールの敷設には\n%sのコストが発生しますね。	
0	110	MA_NEXT_COUNTRY_TITLE	Sell your park and build a new park in a new country.	すでにクリア条件を満たしています。\n新たに別の国でテーマパーク経営を行います。	
0	111	MA_ENDING	Thank you for playing!\nCongratulations!	Thank you for playing!\nおめでとう！\nあなたこそ世界一のテーマパーク王です！	
1	0	CELL1141			
1	1	AT_BANKRUPT	___NOT_USED__DONT_TRANSLATE	___NOT_USED__DONT_TRANSLATE	
1	2	AT_RIDE_OLD	<3>The %s is showing its wear and tear. It's time to replace it with something new.	<3>長期運行の影響で\n%sが老朽化\nしています。ただちに交換しましょ。	
1	3	AT_SEND_MECANIC	<3>Oh, dear! The %s is in very bad shape! Get a Mechanic in there before something terrible happens!	<3>%sに動作の異常\nを見つけました。事故に発展する前に、\nメカニックを呼びましょ。	
1	4	AT_LOW_STOCK	<4>Hmm... You might be running low on %s. I can only count %d left. You must be careful!	<4>%sの在庫の\n減少が著しいです。\n残り%d…気を付けて下さい。	
1	5	AT_PEOPLE_STUCK	<3>We've got an emergency situation in the park! Someone's stuck! Quick, it's time for a search and rescue!	<3>はまって出られなくなったお客さんがいます！\n早く居場所を見つけて救出しましょう！	
1	6	AT_NO_ONE_COMING	<4>Are you trying to bankrupt the park? The price of admission's too high! You'd better think it over.	<4>入場料金、高すぎよ！どうしたの一体？\n倒産も考えられるわ、早く考え直して！	
1	7	AT_STUPID_TICKET_PRICE	<5>Listen, no one's going to pay this much to come to the park. Please come to your senses and lower the price.	<5>ねぇ、この入場料じゃ誰も来なくなるわ！\n一度、冷静に考えてみて。\n早めの値下げ、検討しましょう！	
1	8	AT_TICKETS_MUCH_TOO_EXPENSIVE	<5>People are complaining angrily about the high admission price! Lower it now, while there's still time!	<5>入場料金が常識外れな額からか、\nクレームが殺到しています！\n今なら間に合うわ、考え直して！	
1	9	AT_TICKETS_VERY_EXPENSIVE	<4>I think the price of admission's a bit steep. You might want to lower it.	<4>入場料金が少し高いかな…\nもうちょっとだけ値下げしてみてはどう？	
1	10	AT_STOCK_ARRIVED	<1>Looks like our order of %d %s has arrived. Make sure you confirm that later.	<1>オーナー、発注した\n%sの在庫、%d分が\n入荷しました。後で確認に行きましょ。	
1	11	AT_FREE_TICKETS	<3>We all know how generous you are, but this is a business! The admission price must at least cover our operational costs!	<3>オーナーの愛の深さは知っています。\nでもこれはビジネス。\nせめて運営できる入場料の設定を！	
1	12	AT_MAD_TICKET_PRICE	<5>You can't be serious, can you? You must do something about the admission price! I do NOT want this park to go bankrupt!	<5>アナタはそんなに脇の甘い人じゃないはず。\n安すぎる入場料、なんとかして！\n破産なんてイヤ！	
1	13	AT_TICKETS_WAY_TOO_CHEAP	<1>Don't you think ticket prices are a bit too low? It's nothing bad, but you should raise prices as soon as you can.	<1>入場料金が安すぎるんじゃない？\n心配することないわ、早く値上げしましょ。	
1	14	AT_TICKETS_MUCH_TOO_CHEAP	<5>We're trying to improve our park, right? We need to raise the admission price a notch!	<5>私が望んでいたのはボランティアではなくて\nテーマパークの運営よ？\nお願い、入場料を上げてー！	
1	15	AT_TICKETS_VERY_CHEAP	<4>I know how kind-hearted you are, but... don't you think it would be wise to raise the admission price a bit?	<4>あなたの心の広さは良く知ってるわ…\nでももう少し、\n値上げしてもいいんじゃないかしら？	
1	16	AT_TOO_MUCH_LITTER	<5>The park is filthy! And I hate filth! Let's hire a handyman or two before we're drowning in complaints!	<5>テーマパークがゴミだらけよ？\n汚いのはイヤ！苦情が来る前に、\nスイーパーを雇用しましょう！	
1	17	AT_TOTAL_SHOPS	<1>Seeing the number of rides we have, I think we can support %d more shops without a problem.	<1>アトラクション数の比率から考えると、\nショップをあと%d軒、\n造ってみても大丈夫みたい。	
1	18	AT_TAKE_OUT_LOAN	<1>Are you having difficulty raising funds? Why not take a loan from the bank? I'm sure you can handle it.	<1>資金繰りで悩んでいるの？\n銀行からの貸付けとか、どうかしら？\nアナタなら上手くやれるはず！	
1	19	AT_TOTAL_STAFF	<3>When things seem to be going poorly, reducing staff size is one way to cut costs.	<3>運営が波に乗らない、こんな時。\n非情に徹してスタッフを解雇するのも\n手段の一つよ。	
1	20	AT_MAKE_RIDE_FASTER	<4>It seems some guests are finding the rides rather unthrilling. Perhaps you should turn up the speed?	<4>スリルが足りなくて、\n退屈しているお客様がいるみたい。\nアトラクションのスピードを上げてみては？	
1	21	AT_WANDERRING	<1>Looks like some of the guests are having problems finding the exit. Perhaps you should place some Sign Posts to help.	<1>出口がわからないお客様がいるようね。\n案内標識を設置して、\n導いてあげてくださいね。	
1	22	AT_BUY_NEW_RIDE_FOR_BORED_PEOPLE	<4>The park feels a bit stale. Try spicing things up with a new ride. The %s, perhaps.	<4>ちょっとマンネリ過ぎるわ…\n%sみたいな\nアトラクションで新鮮味を出してみては？	
1	23	AT_TICKET_PRICE_JUST_RIGHT	<2>The ticket prices for the rides are spot on. You're a genius!	<2>入場料の価格設定がとても的確です。\nさすがオーナー、\nわかってらっしゃるわね。	
1	24	AT_TICKETS_SLIGHTLY_TOO_CHEAP	<1>Based on traffic into the park, it looks like you can raise ticket prices without any problems.	<1>統計の結果、今の状態なら\nもう少し入場料金を値上げしても\n問題ないと考えます。検討してみて。	
1	25	AT_TICKETS_SLIGHTLY_TOO_EXPENSIVE	<1>I think the admission prices might be a bit high for a park of this size. A slight drop in the price might be a good idea.	<1>現状のパーク規模を考えると、\n入場料が高いです。\n値下げを行った方が良いでしょう。	
1	26	AT_PUT_SHOP_PRICE_UP	<1>Considering the data at hand, I recommend raising the price of %s by %d.	<1>統計の結果、%sの\n価格を%dだけ上げた方が\n良いと判明しました。	
1	27	AT_PUT_SHOP_PRICE_DOWN	<1>Considering the data at hand, I recommend dropping the price of %s by %d.	<1>統計の結果、%sの\n価格を%dだけ下げた方が\n良いと判明しました。	
1	28	AT_BUY_ENTERTAINER_FOR_BORED_PEOPLE	<1>Bored guests are bad news. I recommend hiring some entertainers to keep people happy.	<1>退屈したお客様を飽きさせない為、\nエンターテナーを雇用すると良いでしょう。	
1	29	AT_BAD_SIGN	<3>It looks like a lot of guests are having trouble finding the exit. I recommend placing more Sign Posts.	<3>出口が把握できず迷っているお客様がいます。\n案内標識を、もっと設置しましょうね。	
1	30	AT_RIDES_TOO_FAR_APART	<3>Looks like the rides are too far apart. Move them closer together, and you'll have happier guests.	<3>アトラクション間の距離が遠すぎますね。\nもっと近付けることで、客足も良くなりますよ。	
1	31	AT_QUEUE_LENGTH	<3>The lines for %s are way too long. Go ahead and make the queues the appropriate length.	<3>%sの行列が\n長すぎます。整列歩道を適度な長さに\n整備しなおしましょう。	
1	32	AT_AVG_LEAVING	<3>We're receiving complaints that the ride placement in the park is poor and that it's ruining the overall experience.	<3>「アトラクション等の配置が悪い」\n「全体的に面白くない」\nお客様からクレームがきています。	
1	33	AT_RAD_BUS_BECOME_BIG	<2>Look at this. Our buses have been redesigned! They can now carry up to %d guests!	<2>ＯＫ。\n研究開発の結果、バスが大型化されました。\n%d人乗れるようになりますよ！	
1	34	AT_RAD_RIDE_UPGTADE	<2>More great work from our Research and Development team! They've upgraded %s to version %d.%d!	<2>ＯＫ、研究開発の成果です。\n%sのバージョンが\n%d.%dにアップグレードされました！	
1	35	AT_SHOP_PRICE_UP	<1>Don't you feel we should increase the price of our %s? I feel %s would be a good price.	<1>%sの価格を、\n値上げしてみてはどうですか？\n%s辺りが適正な価格でしょうね。	
1	36	AT_SHOP_PRICE_DOWN	<1>Don't you feel we should lower the price of our %s? I feel %s would be a good price.	<1>%sの価格を、\n値下げしてみてはどうですか？\n%s辺りが適正な価格でしょうね。	
1	37	AT_TRAINING_RESULT	<2>Here is the result of our staff training. The version of %s has been upgraded to %d.%d!	<2>スタッフ研修の成果です。\n%sのバージョンが\n%d.%dにアップグレードされたわ！	
1	38	AT_RAIL_OPEN	<1>In order to open this attraction, the rails need to be connected in a loop.	<1>このアトラクションを運行する為には\nレール、又はコースを\nつなげてくださいね。	
2	0	CELL1541			
